ID: 49
TITLE: Group Anagrams
DIFFICULTY: Medium
MATCHMODE: sorted
FUNCTION: group_anagrams
ARGUMENTS: [{"name": "strs", "type": "List[str]"}]
RETURN_TYPE: List[List[str]]
EXAMPLES: 3

CONDITION:
<p>Given an array of strings <code>strs</code>, group the <strong>anagrams</strong> together. You can return the answer in any order.</p>
<p>An anagram is a word or phrase formed by rearranging the letters of a different word or phrase, using all the original letters exactly once.</p>

TESTS:
<args>["eat","tea","tan","ate","nat","bat"]</args>; <output>[["bat"],["nat","tan"],["ate","eat","tea"]]</output>
<args>["ypust", "gfoycf", "vmxc", "fcfgyo", "yputs", "ofgcfy", "cvxm", "cvxm", "cvxm", "sutyp", "ypust"]</args>; <output>[["ypust", "yputs", "sutyp", "ypust"], ["gfoycf", "fcfgyo", "ofgcfy"], ["vmxc", "cvxm", "cvxm", "cvxm"]]</output>
<args>["wxz", "xs", "knhdn", "pvecf", "pevfc", "cfvep"]</args>; <output>[["wxz"], ["xs"], ["knhdn"], ["pvecf", "pevfc", "cfvep"]]</output>
<args>["oqkqv", "in", "tqhase", "oqqvk", "ehtaqs", "fwb", "in", "bwf", "vqkqo", "wbf", "ue", "wbf", "ni", "qoqvk", "qehast"]</args>; <output>[["oqkqv", "oqqvk", "vqkqo", "qoqvk"], ["in", "in", "ni"], ["tqhase", "ehtaqs", "qehast"], ["fwb", "bwf", "wbf", "wbf"], ["ue"]]</output>
<args>["of", "al", "ebdvzi", "al", "la", "of", "kbetx", "izevbd"]</args>; <output>[["of", "of"], ["al", "al", "la"], ["ebdvzi", "izevbd"], ["kbetx"]]</output>
<args>["slncj", "jnscl", "jscnl", "qkwf", "lncsj", "qkfw", "kfqw", "wfqk", "fy"]</args>; <output>[["slncj", "jnscl", "jscnl", "lncsj"], ["qkwf", "qkfw", "kfqw", "wfqk"], ["fy"]]</output>
<args>["gs", "tx", "gs", "iuscd", "xazc", "cxza", "czxa", "xt", "tx", "gs"]</args>; <output>[["gs", "gs", "gs"], ["tx", "xt", "tx"], ["iuscd"], ["xazc", "cxza", "czxa"]]</output>
<args>["xmofx", "tguhjr", "rhtjug", "gtrjuh", "xkqwzd", "zqwxkd", "hrtujg", "iqf", "pwzo", "zwkdxq", "pwoz"]</args>; <output>[["xmofx"], ["tguhjr", "rhtjug", "gtrjuh", "hrtujg"], ["xkqwzd", "zqwxkd", "zwkdxq"], ["iqf"], ["pwzo", "pwoz"]]</output>
<args>["ztpi", "lqz", "mlur", "zxze", "erlisv", "zpti", "tzip", "ptzi"]</args>; <output>[["ztpi", "zpti", "tzip", "ptzi"], ["lqz"], ["mlur"], ["zxze"], ["erlisv"]]</output>
<args>["obhdws", "pthk", "kpth", "xh", "hx", "mvp", "pmv", "sdbohw", "thkp", "kpht", "vpm"]</args>; <output>[["obhdws", "sdbohw"], ["pthk", "kpth", "thkp", "kpht"], ["xh", "hx"], ["mvp", "pmv", "vpm"]]</output>
<args>["eo", "lgp", "oe", "oe", "pgl", "loeuvk", "oe", "fnp", "pgl", "idwhz", "vekoul", "npf", "koelvu"]</args>; <output>[["eo", "oe", "oe", "oe"], ["lgp", "pgl", "pgl"], ["loeuvk", "vekoul", "koelvu"], ["fnp", "npf"], ["idwhz"]]</output>
<args>["xbsy", "xbsy", "sybx", "ofvvgh", "pu", "pu", "up"]</args>; <output>[["xbsy", "xbsy", "sybx"], ["ofvvgh"], ["pu", "pu", "up"]]</output>
<args>["em", "ojzgv", "me", "no", "ahnc", "chan", "me", "no", "vgojz", "em", "nahc", "anhc"]</args>; <output>[["em", "me", "me", "em"], ["ojzgv", "vgojz"], ["no", "no"], ["ahnc", "chan", "nahc", "anhc"]]</output>
<args>["ygk", "ldyx", "dlyx", "gyk", "kgy", "xdyl"]</args>; <output>[["ygk", "gyk", "kgy"], ["ldyx", "dlyx", "xdyl"]]</output>
<args>["otwe", "iz", "oldvb", "zi", "zi", "zi"]</args>; <output>[["otwe"], ["iz", "zi", "zi", "zi"], ["oldvb"]]</output>
<args>["ruiorg", "mplh", "ugorri", "ye", "phml"]</args>; <output>[["ruiorg", "ugorri"], ["mplh", "phml"], ["ye"]]</output>
<args>["fwojod", "mz", "fwdojo", "mz", "mz", "fdowjo", "ojofdw", "zm"]</args>; <output>[["fwojod", "fwdojo", "fdowjo", "ojofdw"], ["mz", "mz", "mz", "zm"]]</output>
<args>["wkhn", "hkwn", "ueey", "nwhk", "eeyu", "yeeu"]</args>; <output>[["wkhn", "hkwn", "nwhk"], ["ueey", "eeyu", "yeeu"]]</output>
<args>["aiz", "fusx", "aiz", "fsux", "azi", "lihdxu", "seq", "qse", "eqs", "lihxud", "qes", "azi"]</args>; <output>[["aiz", "aiz", "azi", "azi"], ["fusx", "fsux"], ["lihdxu", "lihxud"], ["seq", "qse", "eqs", "qes"]]</output>
<args>["aaotf", "foata", "taoaf", "ivrczt", "atafo", "ae", "crtvzi"]</args>; <output>[["aaotf", "foata", "taoaf", "atafo"], ["ivrczt", "crtvzi"], ["ae"]]</output>
<args>["zd", "yg", "fgkd", "kgfd", "zd", "yg", "gdfk", "gkfd", "yg"]</args>; <output>[["zd", "zd"], ["yg", "yg", "yg"], ["fgkd", "kgfd", "gdfk", "gkfd"]]</output>
<args>["uvqjyj", "qvyjju", "oa", "vjjyuq", "ao", "yjvjuq", "oa", "ao"]</args>; <output>[["uvqjyj", "qvyjju", "vjjyuq", "yjvjuq"], ["oa", "ao", "oa", "ao"]]</output>
<args>["nwfvn", "fwnnv", "nfwnv", "caa"]</args>; <output>[["nwfvn", "fwnnv", "nfwnv"], ["caa"]]</output>
<args>["mxzlk", "kjl", "aljxxc", "jlk", "xbyjs", "syxjb", "xljaxc", "xkzlm", "lxxjca", "xxcjal", "bjsxy"]</args>; <output>[["mxzlk", "xkzlm"], ["kjl", "jlk"], ["aljxxc", "xljaxc", "lxxjca", "xxcjal"], ["xbyjs", "syxjb", "bjsxy"]]</output>
<args>["zmqst", "tqzms", "ygc", "gpjjq", "yyp", "nui", "nui", "gyc", "pjqjg", "cyg", "pyy", "sqtmz", "jjgpq", "jqpgj"]</args>; <output>[["zmqst", "tqzms", "sqtmz"], ["ygc", "gyc", "cyg"], ["gpjjq", "pjqjg", "jjgpq", "jqpgj"], ["yyp", "pyy"], ["nui", "nui"]]</output>
<args>["oi", "wiyea", "iaewy", "wcscl", "io", "pfgqyi", "oi", "iywea", "io", "wayei", "yigqfp"]</args>; <output>[["oi", "io", "oi", "io"], ["wiyea", "iaewy", "iywea", "wayei"], ["wcscl"], ["pfgqyi", "yigqfp"]]</output>
<args>["wdpxmm", "gngif", "gnifg", "pmwdmx"]</args>; <output>[["wdpxmm", "pmwdmx"], ["gngif", "gnifg"]]</output>
